66,2:04:12,Leul Gebrselassie,ETH,20.09.93,3,Amsterdam,17.10.2021
68,2:04:14,Tamirat Tola,ETH,11.08.91,3,Tokyo,06.03.2022
69,2:04:15,Geoffrey Mutai,KEN,07.10.81,1,Berlin,30.09.2012
69,2:04:15,Birhanu Legesse,ETH,09.11.94,6,Dubai,26.01.2018
69,2:04:15,Birhanu Legesse,ETH,09.11.94,1,Tokyo,01.03.2020
72,2:04:16,Dennis Kimetto,KEN,22.04.84,2,Berlin,30.09.2012
72,2:04:16,Kaan Kigen Özbilen,TUR,15.01.86,2,Valencia,01.12.2019
74,2:04:17,Eliud Kipchoge,KEN,05.11.84,1,London,22.04.2018
74,2:04:17,Barnabas Kiptum,KEN,08.10.86,3,Milano,16.05.2021
76,2:04:21,Elisha Rotich,KEN,12.04.90,1,Paris,17.10.2021
77,2:04:22,Ronald Korir,KEN,10.04.91,4,Berlin,24.09.2023
78,2:04:23,Ayele Abshero,ETH,28.12.90,1,Dubai,27.01.2012
78,2:04:23,Geoffrey Kamworor,KEN,28.11.92,2,London,23.04.2023
80,2:04:24,Tesfaye Abera,ETH,31.03.92,1,Dubai,22.01.2016
80,2:04:24,Asefa Mengistu,ETH,18.01.85,3,Dubai,25.01.2019
80,2:04:24,Benson Kipruto,KEN,17.03.91,1,Chicago,09.10.2022
83,2:04:26,Haile Gebrselassie,ETH,18.04.73,1,Berlin,30.09.2007
84,2:04:27,Duncan Kipkemboi Kibet,KEN,25.04.78,1,Rotterdam,05.04.2009
84,2:04:27,James Kipsang Kwambai,KEN,28.02.83,2,Rotterdam,05.04.2009
84,2:04:27,Dawit Wolde,ETH,19.05.91,3,Rotterdam,24.10.2021
87,2:04:28,Sammy Kirop Kitwara,KEN,26.11.86,2,Chicago,12.10.2014
87,2:04:28,Vincent Toroitich,KEN,03.08.90,2,London,03.10.2021
89,2:04:29,Wilson Kipsang Kiprotich,KEN,15.03.82,1,London,13.04.2014
89,2:04:29,Seifu Tura,ETH,17.06.97,4,Milano,16.05.2021
